iter	Passed	Remaining
0	151	151124
1	158	79333
2	165	55071
3	171	42620
4	175	34878
5	178	29625
6	182	25944
7	186	23151
8	190	20932
9	193	19161
10	197	17715
11	200	16542
12	204	15510
13	207	14626
14	211	13858
15	215	13226
16	218	12632
17	221	12103
18	225	11623
19	228	11198
20	232	10854
21	236	10502
22	239	10176
23	242	9879
24	247	9648
25	250	9394
26	254	9159
27	257	8935
28	261	8761
29	265	8574
30	268	8397
31	272	8228
32	275	8083
33	279	7941
34	283	7804
35	286	7672
36	290	7550
37	294	7448
38	297	7337
39	301	7228
40	304	7122
41	309	7055
42	312	6962
43	316	6871
44	320	6795
45	323	6709
46	326	6627
47	330	6547
48	334	6484
49	337	6411
50	340	6344
51	344	6281
52	348	6220
53	351	6157
54	354	6095
55	358	6041
56	362	5994
57	365	5940
58	369	5885
59	372	5832
60	376	5789
61	379	5742
62	382	5693
63	386	5647
64	389	5601
65	393	5568
66	396	5526
67	400	5484
68	403	5443
69	406	5403
70	410	5374
71	413	5335
72	417	5299
73	420	5263
74	424	5239
75	428	5205
76	431	5172
77	434	5140
78	438	5112
79	442	5090
80	446	5062
81	449	5034
82	453	5006
83	457	4988
84	461	4963
85	464	4938
86	468	4912
87	473	4911
88	477	4887
89	481	4864
90	485	4849
91	489	4829
92	492	4806
93	496	4784
94	501	4773
95	504	4754
96	508	4733
97	512	4715
98	516	4702
99	520	4685
100	524	4665
101	527	4644
102	532	4634
103	535	4615
104	539	4601
105	543	4583
106	548	4575
107	553	4567
108	557	4556
109	561	4545
110	565	4528
111	570	4521
112	574	4510
113	578	4495
114	582	4479
115	585	4462
116	589	4450
117	593	4437
118	597	4424
119	601	4407
120	604	4392
121	609	4386
122	613	4370
123	616	4357
124	622	4354
125	627	4355
126	632	4349
127	636	4336
128	640	4325
129	644	4313
130	648	4299
131	651	4285
132	656	4279
133	660	4266
134	663	4251
135	667	4238
136	671	4230
137	675	4218
138	678	4205
139	682	4194
140	687	4186
141	691	4175
142	694	4164
143	699	4156
144	702	4144
145	706	4133
146	710	4122
147	715	4116
148	718	4103
149	723	4099
150	729	4099
151	733	4094
152	737	4081
153	741	4070
154	744	4058
155	747	4046
156	751	4033
157	754	4020
158	759	4015
159	762	4003
160	765	3991
161	769	3979
162	773	3970
163	776	3959
164	780	3947
165	783	3936
166	787	3927
167	791	3918
168	795	3909
169	798	3898
170	801	3887
171	805	3876
172	808	3866
173	812	3857
174	816	3846
175	819	3836
176	822	3825
177	826	3818
178	830	3807
179	833	3797
180	836	3787
181	841	3780
182	844	3769
183	847	3759
184	851	3749
185	854	3740
186	858	3731
187	861	3721
188	864	3711
189	868	3703
190	872	3696
191	875	3685
192	879	3676
193	883	3668
194	886	3659
195	889	3649
196	893	3641
197	896	3632
198	900	3626
199	904	3617
200	907	3607
201	910	3598
202	914	3590
203	918	3582
204	921	3573
205	924	3564
206	928	3555
207	932	3549
208	935	3540
209	938	3532
210	942	3523
211	945	3516
212	949	3508
213	953	3500
214	956	3491
215	960	3485
216	964	3479
217	967	3471
218	971	3464
219	974	3455
220	978	3449
221	982	3441
222	985	3434
223	989	3426
224	993	3422
225	997	3414
226	1000	3407
227	1004	3399
228	1008	3395
229	1011	3387
230	1015	3380
231	1019	3373
232	1023	3369
233	1027	3362
234	1030	3354
235	1034	3347
236	1038	3343
237	1041	3335
238	1045	3328
239	1048	3321
240	1053	3316
241	1056	3309
242	1060	3302
243	1063	3295
244	1068	3291
245	1071	3284
246	1075	3277
247	1078	3270
248	1082	3265
249	1086	3258
250	1089	3251
251	1093	3246
252	1097	3240
253	1102	3236
254	1105	3230
255	1109	3224
256	1114	3220
257	1117	3215
258	1121	3209
259	1125	3202
260	1130	3199
261	1133	3193
262	1137	3187
263	1141	3181
264	1145	3178
265	1149	3172
266	1153	3165
267	1156	3159
268	1161	3155
269	1164	3149
270	1168	3142
271	1171	3136
272	1176	3133
273	1180	3126
274	1183	3120
275	1187	3115
276	1191	3110
277	1195	3104
278	1199	3098
279	1203	3094
280	1207	3089
281	1211	3083
282	1214	3077
283	1219	3073
284	1222	3067
285	1226	3061
286	1230	3056
287	1235	3053
288	1238	3047
289	1242	3041
290	1246	3036
291	1250	3032
292	1254	3026
293	1257	3020
294	1261	3015
295	1266	3012
296	1271	3008
297	1274	3003
298	1278	2998
299	1282	2991
300	1286	2986
301	1289	2980
302	1293	2975
303	1296	2969
304	1300	2963
305	1303	2957
306	1307	2950
307	1310	2945
308	1314	2938
309	1318	2933
310	1321	2927
311	1325	2921
312	1328	2915
313	1331	2909
314	1335	2903
315	1339	2898
316	1342	2893
317	1346	2887
318	1349	2881
319	1353	2876
320	1357	2871
321	1360	2865
322	1364	2859
323	1368	2854
324	1371	2849
325	1375	2842
326	1378	2836
327	1381	2830
328	1386	2826
329	1389	2821
330	1392	2815
331	1396	2809
332	1400	2804
333	1403	2798
334	1406	2792
335	1410	2787
336	1413	2781
337	1417	2777
338	1421	2770
339	1424	2765
340	1427	2759
341	1431	2754
342	1436	2750
343	1439	2744
344	1442	2739
345	1446	2734
346	1450	2729
347	1453	2723
348	1457	2717
349	1460	2712
350	1464	2707
351	1467	2701
352	1471	2696
353	1474	2691
354	1478	2686
355	1482	2681
356	1485	2675
357	1489	2670
358	1492	2665
359	1496	2659
360	1500	2655
361	1503	2649
362	1507	2645
363	1511	2640
364	1514	2635
365	1518	2630
366	1522	2626
